year,month,debt_shock_6,debt_shock_12
2003,February,0,0
2003,March,0,0
2003,April,0,0
2003,May,0,0
2003,June,0,0
2003,July,0,0
2003,August,0.00150384286697758,0
2003,September,-0.0128743793405768,0
2003,October,0.0142331057587768,0
2003,November,-0.00214371180172535,0
2003,December,0.00223590711075872,0
2004,January,-0.00495984668809157,0
2004,February,0.0116568645582795,0.0120018442094718
2004,March,0.00260873115185589,0.0064917898959429
2004,April,-0.0107539403579651,-0.0106645891670958
2004,May,0.00671794975535889,0.00612598389617247
2004,June,-0.00594337515489585,-0.00420316407000598
2004,July,0.00976252599310001,0.00505324191966849
2004,August,-0.00273142649152547,0.00131480694340524
2004,September,-0.00598938674433214,-0.00678497760869234
2004,October,-0.000310799193837141,-0.00210503626950143
2004,November,0.0162877332993006,0.0143848699329432
2004,December,-0.00592313018233526,-0.00558061802224685
2005,January,0.00905970503070463,0.00804135074643497
2005,February,0.00958169688294674,0.0065639743800503
2005,March,0.0090101711949373,0.00926608370147619
2005,April,-0.0039942600081595,-0.00399750417293632
2005,May,-0.0142626188497879,-0.01248004553565
2005,June,0.00112682428807176,0.000149041052019072
2005,July,-0.00716121634576083,-0.00402388662852715
2005,August,0.00715902532098056,0.00442965553969543
2005,September,-0.00532610994885019,-0.00110810878913981
2005,October,-0.0185955536948228,-0.0233512096902153
2005,November,0.00743766056918105,0.00536562144525377
2005,December,0.00874868386684824,0.00630360371170013
2006,January,0.00521013464088327,0.0047750858578155
2006,February,0.00788105023652719,0.00692665968799844
2006,March,-0.000672355093314536,-0.00167205694961581
2006,April,0.00136929426439281,-0.000137672265715594
2006,May,-0.0145490850311596,-0.00935969323637309
2006,June,0.00030565610961375,0.000565747036020525
2006,July,-0.0128757029158812,-0.00810859214866611
2006,August,0.00708268855315808,0.00357458810441358
2006,September,-0.00396810224578914,-0.00420334286311785
2006,October,-0.0124112671762937,-0.011668006151357
2006,November,0.00719076328711665,0.00526346606765671
2006,December,-0.00598564786172417,-0.00690217735153809
2007,January,-0.00682276360610246,-0.00762231834454852
2007,February,0.00889153870022596,0.00767001435094272
2007,March,0.0106422710937615,0.00681505286297934
2007,April,-0.00381905120607939,-0.0015272501653989
2007,May,-0.00866605494747574,-0.00760036735197644
2007,June,0.00108604563676806,0.0031911646238747
2007,July,-0.0114021492056828,-0.00557005222255569
2007,August,0.00767102330063807,0.00553238580807047
2007,September,-0.00648039859414951,-0.00227071201279472
2007,October,-0.0082486640814281,-0.0111889306073323
2007,November,0.0121161964802461,0.0128174739173197
2007,December,0.000246811658492163,-0.000468812991336165
2008,January,-0.0128667195800283,-0.0100454080674126
2008,February,0.00906592800190609,0.00749818734297136
2008,March,0.00282095629034274,-0.000315282240098469
2008,April,-0.0139257172257601,-0.00982596300141836
2008,May,-0.0137929970140789,-0.0147664576600519
2008,June,0.000251628326790154,0.00273874969667887
2008,July,-0.00924509935846984,-0.00991027121241927
2008,August,0.00673508074911666,0.00443886443422059
2008,September,0.000544406635672345,-0.00358148880681597
2008,October,0.0481145501030724,0.0481370869568778
2008,November,0.00124245251100064,-0.00372098489600958
2008,December,0.00227094911054238,0.00377349867731525
2009,January,-0.0136890792935844,-0.0117471854024451
2009,February,-0.00233054590093218,-0.00268089472591271
2009,March,0.00553402950399473,0.00702956865121251
2009,April,0.000930498111966216,-0.000226889511036887
2009,May,-0.0049734048785659,0.000781709999444047
2009,June,-0.000299433036630603,0.000772768878036345
2009,July,-0.00693458514889755,-0.00660679790054886
2009,August,0.0081587338357636,0.0125402422952448
2009,September,0.00738336663057737,0.00251722336486893
2009,October,-0.0079699956724042,-0.00871409039834958
2009,November,-0.00389551637799812,-0.000901376392935305
2009,December,-0.0107686276815429,-0.0047245160546332
2010,January,-0.0131162191750533,-0.00604758049373899
2010,February,-0.00258552750530683,0.00205964381156321
2010,March,0.0142869443594122,0.0125490413679614
2010,April,0.0089500925022179,0.00862634126665185
2010,May,0.000209805614446168,-0.00530136027457573
2010,June,0.00677386231118504,0.00355043021026802
2010,July,-0.00542957283106915,-0.00623119030678865
2010,August,0.00642251349509593,0.00413497857974221
2010,September,-0.00134955490102584,-0.00356285417211666
2010,October,-0.000720695742266741,0.00242168060581704
2010,November,0.0014105176176642,-0.00189264999094263
2010,December,-0.00152215553904966,-0.000620268001391366
2011,January,0.00323789707312372,-5.7253210407282e-05
2011,February,0.00160851581150823,0.000930922995920014
2011,March,-0.00030920554089775,-0.00654791036207314
2011,April,-0.0038990599863773,-0.00306182972512303
2011,May,-0.00215773841171796,-0.00151022249214705
2011,June,-0.00367002506889236,-0.00307899773017084
2011,July,-0.0117128668077733,-0.00701078589436577
2011,August,0.011913012236505,0.0105163281476912
2011,September,-0.000754989140027362,-0.000658299493789372
2011,October,-0.00340176273044435,-0.00154245812460019
2011,November,0.00331382510366041,0.000484929175730286
2011,December,0.000295305287188796,-0.00158740374023481
2012,January,0.00353480005784235,0.00124202537909213
2012,February,0.00525086723742874,0.0036135596543545
2012,March,0.00847234225497573,0.00426115428668794
2012,April,-0.00311988232394356,-0.007273534451393
2012,May,-0.00177124369504256,-0.00279806367817415
2012,June,-0.0021100414085673,-0.00187986682356822
2012,July,-0.00128572937299865,0.00118967506958967
2012,August,-0.00020458275147206,0.000205052437959097
2012,September,-0.000264588922902931,0.00187031230951362
2012,October,-0.00396554989051268,-0.00415926602691741
2012,November,0.00108323587808812,0.0029967821091148
2012,December,0.00502040838052409,0.00270388390665488
2013,January,-0.00407291107727303,-0.00322970816502988
2013,February,0.00552743861452498,0.00394159275986183
