Date,SOFR,,,,
9/16/15,13,,,,
9/17/15,13,,,,
9/18/15,10,,,,
9/21/15,10,,,,
9/22/15,10,,,,
9/23/15,9,,,,
9/24/15,12,,,,
9/25/15,11,,,,
9/28/15,10,,,,
9/29/15,10,,,,
9/30/15,23,,,,
10/1/15,12,,,,
10/2/15,10,,,,
10/5/15,10,,,,
10/6/15,9,,,,
10/7/15,10,,,,
10/8/15,10,,,,
10/9/15,12,,,,
10/13/15,11,,,,
10/14/15,14,,,,
10/15/15,16,,,,
10/16/15,17,,,,
10/19/15,14,,,,
10/20/15,11,,,,
10/21/15,9,,,,
10/22/15,7,,,,
10/23/15,10,,,,
10/26/15,10,,,,
10/27/15,7,,,,
10/28/15,6,,,,
10/29/15,7,,,,
10/30/15,10,,,,
11/2/15,7,,,,
11/3/15,9,,,,
11/4/15,9,,,,
11/5/15,14,,,,
11/6/15,10,,,,
11/9/15,9,,,,
11/10/15,7,,,,
11/12/15,10,,,,
11/13/15,10,,,,
11/16/15,11,,,,
11/17/15,9,,,,
11/18/15,7,,,,
11/19/15,7,,,,
11/20/15,5,,,,
11/23/15,5,,,,
11/24/15,7,,,,
11/25/15,9,,,,
11/27/15,12,,,,
11/30/15,17,,,,
12/1/15,12,,,,
12/2/15,11,,,,
12/3/15,14,,,,
12/4/15,14,,,,
12/7/15,14,,,,
12/8/15,17,,,,
12/9/15,19,,,,
12/10/15,18,,,,
12/11/15,15,,,,
12/14/15,15,,,,
12/15/15,21,,,,
12/16/15,25,,,,
12/17/15,33,,,,
12/18/15,34,,,,
12/21/15,30,,,,
12/22/15,27,,,,
12/23/15,28,,,,
12/24/15,34,,,,
12/28/15,38,,,,
12/29/15,40,,,,
12/30/15,35,,,,
12/31/15,45,,,,
1/4/16,36,,,,
1/5/16,35,,,,
1/6/16,38,,,,
1/7/16,36,,,,
1/8/16,36,,,,
1/11/16,37,,,,
1/12/16,36,,,,
1/13/16,36,,,,
1/14/16,36,,,,
1/15/16,38,,,,
1/19/16,37,,,,
1/20/16,39,,,,
1/21/16,41,,,,
1/22/16,48,,,,
1/25/16,40,,,,
1/26/16,39,,,,
1/27/16,39,,,,
1/28/16,41,,,,
1/29/16,44,,,,
2/1/16,40,,,,
2/2/16,40,,,,
2/3/16,40,,,,
2/4/16,40,,,,
2/5/16,40,,,,
2/8/16,38,,,,
2/9/16,38,,,,
2/10/16,40,,,,
2/11/16,40,,,,
2/12/16,40,,,,
2/16/16,41,,,,
2/17/16,40,,,,
2/18/16,40,,,,
2/19/16,39,,,,
2/22/16,36,,,,
2/23/16,33,,,,
2/24/16,36,,,,
2/25/16,37,,,,
2/26/16,33,,,,
2/29/16,40,,,,
3/1/16,35,,,,
3/2/16,35,,,,
3/3/16,37,,,,
3/4/16,35,,,,
3/7/16,34,,,,
3/8/16,34,,,,
3/9/16,32,,,,
3/10/16,35,,,,
3/11/16,36,,,,
3/14/16,36,,,,
3/15/16,40,,,,
3/16/16,37,,,,
3/17/16,37,,,,
3/18/16,34,,,,
3/21/16,30,,,,
3/22/16,27,,,,
3/23/16,29,,,,
3/24/16,37,,,,
3/28/16,38,,,,
3/29/16,38,,,,
3/30/16,35,,,,
3/31/16,42,,,,
4/1/16,40,,,,
4/4/16,37,,,,
4/5/16,35,,,,
4/6/16,34,,,,
4/7/16,35,,,,
4/8/16,35,,,,
4/11/16,36,,,,
4/12/16,35,,,,
4/13/16,36,,,,
4/14/16,35,,,,
4/15/16,39,,,,
4/18/16,37,,,,
4/19/16,31,,,,
4/20/16,30,,,,
4/21/16,29,,,,
4/22/16,36,,,,
4/25/16,32,,,,
4/26/16,30,,,,
4/27/16,29,,,,
4/28/16,28,,,,
4/29/16,31,,,,
5/2/16,30,,,,
5/3/16,31,,,,
5/4/16,31,,,,
5/5/16,33,,,,
5/6/16,35,,,,
5/9/16,35,,,,
5/10/16,35,,,,
5/11/16,35,,,,
5/12/16,35,,,,
5/13/16,35,,,,
5/16/16,38,,,,
5/17/16,37,,,,
5/18/16,34,,,,
5/19/16,30,,,,
5/20/16,28,,,,
5/23/16,26,,,,
5/24/16,32,,,,
5/25/16,28,,,,
5/26/16,26,,,,
5/27/16,26,,,,
5/31/16,35,,,,
6/1/16,34,,,,
6/2/16,34,,,,
6/3/16,34,,,,
6/6/16,35,,,,
6/7/16,36,,,,
6/8/16,38,,,,
6/9/16,37,,,,
6/10/16,40,,,,
6/13/16,40,,,,
6/14/16,38,,,,
6/15/16,42,,,,
6/16/16,43,,,,
6/17/16,41,,,,
6/20/16,39,,,,
6/21/16,40,,,,
6/22/16,42,,,,
6/23/16,49,,,,
6/24/16,55,,,,
6/27/16,58,,,,
6/28/16,55,,,,
6/29/16,49,,,,
6/30/16,63,,,,
7/1/16,47,,,,
7/5/16,40,,,,
7/6/16,36,,,,
7/7/16,39,,,,
7/8/16,43,,,,
7/11/16,41,,,,
7/12/16,39,,,,
7/13/16,38,,,,
7/14/16,39,,,,
7/15/16,41,,,,
7/18/16,37,,,,
7/19/16,34,,,,
7/20/16,32,,,,
7/21/16,35,,,,
7/22/16,37,,,,
7/25/16,35,,,,
7/26/16,34,,,,
7/27/16,35,,,,
7/28/16,35,,,,
7/29/16,42,,,,
8/1/16,41,,,,
8/2/16,40,,,,
8/3/16,40,,,,
8/4/16,41,,,,
8/5/16,41,,,,
8/8/16,37,,,,
8/9/16,35,,,,
8/10/16,35,,,,
8/11/16,38,,,,
8/12/16,40,,,,
8/15/16,41,,,,
8/16/16,40,,,,
8/17/16,39,,,,
8/18/16,40,,,,
8/19/16,40,,,,
8/22/16,34,,,,
8/23/16,30,,,,
8/24/16,35,,,,
8/25/16,34,,,,
8/26/16,39,,,,
8/29/16,38,,,,
8/30/16,39,,,,
8/31/16,46,,,,
9/1/16,43,,,,
9/2/16,41,,,,
9/6/16,40,,,,
9/7/16,35,,,,
9/8/16,38,,,,
9/9/16,42,,,,
9/12/16,40,,,,
9/13/16,40,,,,
9/14/16,40,,,,
9/15/16,42,,,,
9/16/16,37,,,,
9/19/16,35,,,,
9/20/16,34,,,,
9/21/16,34,,,,
9/22/16,35,,,,
9/23/16,43,,,,
9/26/16,43,,,,
9/27/16,54,,,,
9/28/16,64,,,,
9/29/16,70,,,,
9/30/16,89,,,,
10/3/16,45,,,,
10/4/16,55,,,,
10/5/16,50,,,,
10/6/16,44,,,,
10/7/16,40,,,,
10/11/16,36,,,,
10/12/16,37,,,,
10/13/16,40,,,,
10/14/16,38,,,,
10/17/16,40,,,,
10/18/16,35,,,,
10/19/16,30,,,,
10/20/16,32,,,,
10/21/16,29,,,,
10/24/16,35,,,,
10/25/16,34,,,,
10/26/16,38,,,,
10/27/16,40,,,,
10/28/16,36,,,,
10/31/16,43,,,,
11/1/16,35,,,,
11/2/16,34,,,,
11/3/16,40,,,,
11/4/16,38,,,,
11/7/16,35,,,,
11/8/16,34,,,,
11/9/16,36,,,,
11/10/16,39,,,,
11/14/16,35,,,,
11/15/16,34,,,,
11/16/16,31,,,,
11/17/16,28,,,,
11/18/16,27,,,,
11/21/16,26,,,,
11/22/16,25,,,,
11/23/16,26,,,,
11/25/16,27,,,,
11/28/16,26,,,,
11/29/16,26,,,,
11/30/16,27,,,,
12/1/16,26,,,,
12/2/16,26,,,,
12/5/16,26,,,,
12/6/16,26,,,,
12/7/16,26,,,,
12/8/16,26,,,,
12/9/16,30,,,,
12/12/16,30,,,,
12/13/16,28,,,,
12/14/16,26,,,,
12/15/16,50,,,,
12/16/16,51,,,,
12/19/16,50,,,,
12/20/16,48,,,,
12/21/16,46,,,,
12/22/16,46,,,,
12/23/16,50,,,,
12/27/16,52,,,,
12/28/16,54,,,,
12/29/16,51,,,,
12/30/16,48,,,,
1/3/17,50,,,,
1/4/17,55,,,,
1/5/17,53,,,,
1/6/17,53,,,,
1/9/17,52,,,,
1/10/17,50,,,,
1/11/17,51,,,,
1/12/17,52,,,,
1/13/17,55,,,,
1/17/17,59,,,,
