"date","Avg_USText","AvgUS_USText","AvgRoW_USText","Avg_USTextRP","AvgUS_USTextRP","AvgRoW_USTextRP"
2016-01-04,8.29167484412083,8.02729094342054,8.82044264552143,5.34132253296433,5.84281766831688,4.33833226225924
2016-01-05,8.06322485941046,8.12730825478357,7.93505806866424,5.27446425546253,5.87863015607448,4.06613245423864
2016-01-06,7.83620816312565,8.01702631159261,7.47457186619175,5.12893041873392,5.78971941888534,3.80735241843108
2016-01-07,7.7614053725128,8.03565368535702,7.21290874682437,5.25029234284615,5.84300098293417,4.06487506267011
2016-01-08,7.07796101338239,6.98800128798885,7.25788046416946,4.76664468265883,5.00040136729429,4.29913131338792
2016-01-11,6.96752553508657,6.91769955261936,7.067177500021,4.64720213962592,4.87332172380911,4.19496297125953
2016-01-12,6.6679051383191,6.55536513396422,6.89298514702888,4.38128635500919,4.56722110207494,4.00941686087769
2016-01-13,6.52938935759091,6.7570456491271,6.07407677451853,4.29078196397449,4.61067587980059,3.65099413232231
2016-01-14,6.78360042910088,7.08640057861577,6.17800013007111,4.49624606700314,4.84311362614322,3.80251094872296
2016-01-15,6.75484915883499,7.16036720451485,5.94381306747526,4.41009455615534,4.71871869281554,3.79284628283495
2016-01-19,6.31932512056158,6.53666345624561,5.88464844919353,4.22895484233088,4.45206535040622,3.7827338261802
2016-01-20,6.59598202540529,7.04696662443872,5.69401282733843,4.38492528932708,4.75642716495322,3.6419215380748
2016-01-21,6.35649063952134,6.56302790983065,5.94341609890272,4.26174343274261,4.46697171150276,3.85128687522232
2016-01-22,6.44758842700665,6.56044309075994,6.22187909950007,4.33429210767202,4.50159634020275,3.99968364261057
2016-01-25,6.88594764419581,7.26561119431661,6.12662054395421,4.58059588406576,4.91985190119265,3.90208384981199
2016-01-26,7.00137549621739,7.16145809808833,6.68121029247549,4.74363119831182,4.92037985868038,4.39013387757469
2016-01-27,6.52365131970403,6.5780868695069,6.41478022009831,4.30079557476877,4.45305483085112,3.99627706260406
2016-01-28,6.44201409914428,6.42209841032369,6.48184547678546,4.22505161314359,4.3519481980796,3.97125844327157
2016-01-29,6.51514212309924,6.61833740651461,6.3087515562685,4.24753135283346,4.48968031673213,3.76323342503611
2016-02-01,6.59906881699842,6.8203332087612,6.15654003347285,4.41030208228312,4.62976586515761,3.97137451653415
2016-02-02,6.62418726990022,7.08441478413773,5.70373224142519,4.437578256164,4.79847353908362,3.71578769032478
2016-02-03,6.39794271127651,6.78830865544696,5.61721082293562,4.19885521209917,4.50225790804674,3.59204982020402
2016-02-04,6.33205703799358,6.51525660154171,5.96565791089733,4.20929213201465,4.37619445169935,3.87548749264524
2016-02-05,6.56884840717804,6.77536022383343,6.15582477386725,4.35987822890793,4.5561630378902,3.96730861094339
2016-02-08,6.56252133885377,6.97572877128706,5.7361064739872,4.485554232045,4.7943741884318,3.86791431927138
2016-02-09,6.42880607853866,6.88590650006905,5.51460523547787,4.3425142150496,4.69964699782961,3.62824864948959
2016-02-10,6.57905924482461,6.61367544266562,6.5098268491426,4.48632552961989,4.54289774365665,4.37318110154637
2016-02-11,6.44913390663577,6.57549922946504,6.19640326097723,4.31161480669067,4.43717827028034,4.06048787951133
2016-02-12,6.59757731588231,6.28716594829669,7.21840005105356,4.444862919446,4.36751103316405,4.59956669200989
2016-02-16,6.36485539160407,6.09423198467873,6.90610220545477,4.26514144560421,4.07372704254738,4.64797025171788
2016-02-17,6.18285819081083,6.03673459969308,6.47510537304635,4.10825768372409,4.04163762905933,4.24149779305361
2016-02-18,6.34410504263721,6.02424785540387,6.98381941710391,4.21016195029395,3.9538084383157,4.72286897425047
2016-02-19,6.44957138928512,6.12642342910381,7.09586730964775,4.29346470188017,4.05251356138152,4.77536698287749
2016-02-22,6.62291594318683,6.55025936122431,6.76822910711185,4.39500596729282,4.31711673814181,4.55078442559482
2016-02-23,6.78130782929146,6.67138296619555,7.0011575554833,4.6518971804522,4.53448730332189,4.88671693471282
2016-02-24,6.44469623643256,6.3364127933021,6.66126312269348,4.30546608969273,4.26528090130494,4.3858364664683
2016-02-25,6.34111521433297,6.37013813864112,6.28306936571669,4.30621779469879,4.37798778092433,4.16267782224773
2016-02-26,6.66802411253799,6.61459435811555,6.77488362138287,4.52391111684927,4.52970207095584,4.51232920863614
2016-02-29,6.81974921703336,7.18703822128358,6.08517120853293,4.47636834259756,4.76333447145699,3.90243608487869
2016-03-01,6.46940702647738,6.52031797064862,6.36758513813491,4.29486680084164,4.32052605096712,4.24354830059067
2016-03-02,6.51155001746566,6.62303373274736,6.28858258690225,4.38642888276647,4.47060208229627,4.21808248370685
2016-03-03,6.55713083677985,6.56625361680747,6.53888527672463,4.42183418536944,4.45296093077275,4.35958069456282
2016-03-04,7.11473667624937,7.53975664956108,6.26469672962596,4.68002081616557,4.90328897997667,4.23348448854338
2016-03-07,6.93479205106137,7.36098007790993,6.08241599736427,4.58583783339741,4.82735338766769,4.10280672485685
2016-03-08,6.99541241226652,7.35936313638421,6.26751096403113,4.69968190711979,4.8935960979045,4.31185352555037
2016-03-09,6.90475269559529,7.09458423141943,6.52508962394702,4.63458162166556,4.70837687032518,4.48699112434632
2016-03-10,6.62426846333535,6.82363575025179,6.22553388950247,4.46967841129579,4.53753866361455,4.33395790665827
2016-03-11,6.68474378325503,6.93056497085273,6.19310140805963,4.50729546443101,4.56147490692016,4.39893657945273
2016-03-14,7.01743985430679,7.3215419119892,6.40923573894198,4.72919003464684,4.82748363628875,4.53260283136303
2016-03-15,7.13286159592299,7.27872640954402,6.84113196868094,4.90991965063262,4.94647950539772,4.8367999411024
2016-03-16,7.22733255668211,7.40950325694978,6.86299115614676,4.99465372211281,5.06465816995472,4.85464482642899
2016-03-17,7.04082743417645,7.08973585009777,6.94301060233382,4.79032779991792,4.79051155637646,4.78996028700085
2016-03-18,7.35330078475909,7.25257852616646,7.55474530194434,5.12376033808476,5.00884266309862,5.35359568805706
2016-03-21,7.17379548633243,7.31972019733329,6.88194606433072,4.95659476248136,5.02198170123277,4.82582088497853
2016-03-22,7.18417591818102,7.06725188330195,7.41802398793917,4.94248914081197,4.83721060160791,5.1530462192201
2016-03-23,7.00795240017272,6.77738308102083,7.4690910384765,4.84366706980659,4.77118677761649,4.98862765418677
2016-03-24,6.94679475551898,6.94691929965059,6.94654566725577,4.72532890114491,4.82220811393135,4.53157047557204
2016-03-25,6.83289677939418,6.86187436891396,6.77494160035463,4.63513486742635,4.75332505634917,4.39875448958072
2016-03-28,6.87486299142452,6.58057068113247,7.46344761200861,4.61341209890428,4.54974495363964,4.74074638943356
2016-03-29,7.31462037389845,7.23384214822409,7.47617682524715,4.88998572997622,4.98534087043361,4.69927544906143
2016-03-30,7.09308297141606,6.73475264630029,7.8097436216476,4.79213674163617,4.85132162005802,4.67376698479248
2016-03-31,6.35088893783676,5.88147020862949,7.2897263962513,4.09909455022091,4.14306507103275,4.01115350859723
2016-04-01,6.76775470699029,6.23563597570513,7.8319921695606,4.3932994600123,4.23076428041131,4.7183698192143
2016-04-04,6.58234903345849,6.03560676670129,7.6758335669729,4.37794392493158,4.16266480999771,4.80850215479932
2016-04-05,6.87254060860903,6.4300116780211,7.75759846978488,4.60528471171218,4.45240685139578,4.91104043234497
2016-04-06,6.60444366053361,6.74985648191843,6.31361801776398,4.40417203905123,4.61771181506397,3.97709248702577
2016-04-07,7.02536613476797,6.95869060165613,7.15871720099166,4.71455681385333,4.73128120363695,4.68110803428608
2016-04-08,6.93488941892003,7.02092153935181,6.76282517805646,4.75694978989584,4.89628362437554,4.47828212093645
2016-04-11,6.80299816838409,6.868225893857,6.67254271743827,4.6266269609253,4.74824452931638,4.38339182414316
2016-04-12,6.84402739229808,6.77009857880509,6.99188501928405,4.67473372792169,4.72212331648676,4.57995455079154
2016-04-13,6.73948751664928,6.98468935855569,6.24908383283647,4.67316789623359,4.89531120387187,4.22888128095703
2016-04-14,6.81890797770224,7.15823313910311,6.14025765490051,4.73027964313912,5.03393583813002,4.1229672531573
2016-04-15,6.71920189502874,7.03825731918716,6.08109104671191,4.50825642459527,4.68137025361543,4.16202876655493
2016-04-18,6.51105431606578,6.66223760537995,6.20868773743745,4.51270687384255,4.62148557581329,4.29514946990108
2016-04-19,6.49176138349449,6.62796257691269,6.21935899665808,4.54845952401663,4.72383278374566,4.19771300455856
2016-04-20,6.66618369197232,6.80727812301595,6.38399482988508,4.5637692913377,4.70083968377205,4.289628506469
2016-04-21,6.5820068134523,6.61780455965446,6.51041132104796,4.55754992807554,4.61493830492239,4.44277317438183
2016-04-22,6.84721781817054,7.11017306385637,6.32130732679889,4.65218838934554,4.79107489610738,4.37441537582185
2016-04-25,6.82550877656784,7.10648174874089,6.26356283222174,4.78678709706749,5.06094816760439,4.2384649559937
2016-04-26,6.38105220964544,6.56279224895584,6.01757213102464,4.35021984764561,4.47257602224283,4.10550749845118
2016-04-27,6.49209060475327,6.69402865290362,6.08821450845257,4.3767443933844,4.63318208427362,3.86386901160596
2016-04-28,6.74626027359605,6.71188865247008,6.815003515848,4.58100536412558,4.72212225934934,4.29877157367806
2016-04-29,6.29031488933057,6.49658058814416,5.8777834917034,4.24500622725206,4.5473154652063,3.64038775134358
2016-05-02,6.23887746550931,6.12745138586178,6.46172962480438,4.27483773777343,4.19293982935962,4.43863355460104
2016-05-03,6.02655779261964,5.9817910147048,6.11609134844932,4.12315386418418,4.09354439535614,4.18237280184026
2016-05-04,5.81200354795543,5.71369182122025,6.00862700142579,3.91926444313832,3.85372885740664,4.05033561460169
2016-05-05,6.00317967329395,5.97477395117451,6.05999111753282,4.11060192669968,4.09988946838635,4.13202684332633
2016-05-06,5.81691187406869,5.7133388236634,6.02405797487927,4.06116295230192,4.04808209476011,4.08732466738553
2016-05-09,5.98468332176567,6.08359481504624,5.78686033520453,4.1260334382565,4.30028194712252,3.77753642052445
2016-05-10,6.19445684712219,6.01772939993831,6.54791174148994,4.27731701889032,4.19089295040103,4.4501651558689
2016-05-11,6.06239291074335,5.90766693925358,6.3718448537229,4.21491752473282,4.13260424787133,4.37954407845581
2016-05-12,6.49712154482481,6.54128035934394,6.40880391578654,4.55745844730979,4.67134095322986,4.32969343546965
2016-05-13,6.52389150676728,6.4563501005188,6.65897431926422,4.62630195126219,4.66212046719238,4.55466491940181
2016-05-16,6.49399947554238,6.40562310702116,6.67075221258481,4.45751180178778,4.45728945080869,4.45795650374595
2016-05-17,6.36702464691075,6.20142289327509,6.69822815418209,4.46912682638282,4.37159694498289,4.6641865891827
2016-05-18,6.00841222571726,5.84715579493351,6.33092508728477,4.16684037809291,4.09402965143878,4.31246183140117
2016-05-19,6.30279732011592,6.18568254741309,6.53702686552157,4.42308064063304,4.3887505218387,4.49174087822172
2016-05-20,6.57345827452368,6.52988498420786,6.66060485515532,4.67069524573491,4.71947884337642,4.57312805045189
2016-05-23,6.33954308917342,6.4922894447075,6.03405037810525,4.45357647347379,4.64029619615411,4.08013702811315
