"","Date","repo","Public","Govt","Total","log_repo","change_repo","log_public","change_public"
"83",2016-08-10,1.05346e+12,1.39879e+13,5.38978e+12,1.93776e+13,27.683101100794,-0.0290114035194549,30.2692137861193,0.00126618063207218
"84",2016-08-17,1.082435e+12,1.40264e+13,5.39537e+12,1.94218e+13,27.7102342488308,0.0271331480368531,30.2719623841023,0.00274859798305016
"85",2016-08-24,1.079991e+12,1.40499e+13,5.39306e+12,1.94429e+13,27.7079738236966,-0.00226042513421731,30.2736363942453,0.00167401014292068
"86",2016-08-31,1.070101e+12,1.41041e+13,5.40618e+12,1.95103e+13,27.698774152471,-0.00919967122558418,30.2774866511862,0.00385025694091112
"87",2016-09-07,1.105584e+12,1.41113e+13,5.36821e+12,1.94795e+13,27.7313948180751,0.0326206656040355,30.2779970107881,0.00051035960193957
"88",2016-09-14,1.148969e+12,1.41136e+13,5.3669e+12,1.94805e+13,27.7698861344486,0.0384913163735376,30.2781599874509,0.000162976662810621
"89",2016-09-21,1.111173e+12,1.41355e+13,5.38193e+12,1.95175e+13,27.7364373300352,-0.0334488044134211,30.2797104796356,0.00155049218469827
"90",2016-09-28,1.045945e+12,1.41345e+13,5.38547e+12,1.95199e+13,27.6759418989269,-0.0604954311083006,30.2796397332613,-7.07463742806169e-05
"91",2016-10-05,1.088985e+12,1.41709e+13,5.49251e+12,1.96634e+13,27.7162671856798,0.0403252867529389,30.2822116820814,0.00257194882003375
"92",2016-10-12,1.080019e+12,1.41925e+13,5.49621e+12,1.96887e+13,27.7079997495025,-0.00826743617730585,30.2837347719913,0.00152308990992722
"93",2016-10-19,1.092355e+12,1.42511e+13,5.50314e+12,1.97543e+13,27.7193570319955,0.0113572824930159,30.2878552126464,0.0041204406551465
"94",2016-10-26,1.061427e+12,1.4282e+13,5.51347e+12,1.97955e+13,27.6906353451173,-0.0287216868782494,30.2900211190555,0.00216590640902936
"95",2016-11-02,1.084258e+12,1.42871e+13,5.48253e+12,1.97696e+13,27.7119169980068,0.0212816528895274,30.2903781481571,0.000357029101664352
"96",2016-11-09,1.050566e+12,1.43241e+13,5.46959e+12,1.97937e+13,27.680350182483,-0.0315668155237638,30.2929645493305,0.00258640117337805
"97",2016-11-16,1.107507e+12,1.43726e+13,5.48519e+12,1.98578e+13,27.7331326593875,0.0527824769044365,30.2963447321514,0.00338018282092278
"98",2016-11-23,1.046676e+12,1.44074e+13,5.49061e+12,1.9898e+13,27.6766405443383,-0.0564921150491919,30.2987630794037,0.00241834725228429
"99",2016-11-30,1.045797e+12,1.44437e+13,5.50436e+12,1.99481e+13,27.675800390079,-0.000840154259293513,30.3012794492582,0.00251636985450432
"100",2016-12-07,1.092908e+12,1.44254e+13,5.46573e+12,1.98912e+13,27.7198631495766,0.0440627594976277,30.3000116575743,-0.00126779168391877
"101",2016-12-14,1.105811e+12,1.44081e+13,5.46337e+12,1.98715e+13,27.7316001183501,0.0117369687734232,30.2988116643667,-0.00119999320762432
"102",2016-12-21,1.023061e+12,1.44103e+13,5.468e+12,1.98783e+13,27.6538202296638,-0.0777798886862264,30.298964344599,0.000152680232371694
"103",2016-12-28,9.72423e+11,1.44059e+13,5.47354e+12,1.98794e+13,27.6030567319264,-0.0507634977373996,30.2986589608195,-0.000305383779554802
"104",2017-01-04,1.031428e+12,1.44342e+13,5.51823e+12,1.99524e+13,27.6619653657612,0.0589086338347684,30.3006215066556,0.00196254583606503
"105",2017-01-11,1.044001e+12,1.44282e+13,5.52352e+12,1.99518e+13,27.6740815632429,0.012116197481749,30.3002057408089,-0.000415765846668137
"106",2017-01-18,1.092628e+12,1.44239e+13,5.53753e+12,1.99615e+13,27.7196069195246,0.0455253562816225,30.2999076689159,-0.000298071892988361
"107",2017-01-25,1.066908e+12,1.44038e+13,5.54677e+12,1.99506e+13,27.6957858614754,-0.0238210580491192,30.2985131765868,-0.00139449232905875
"108",2017-02-01,1.07653e+12,1.4376e+13,5.52402e+12,1.99e+13,27.7047640214536,0.0089781599781098,30.2965812654098,-0.00193191117703861
"109",2017-02-08,1.091498e+12,1.43661e+13,5.51854e+12,1.98846e+13,27.7185721805939,0.0138081591403605,30.2958923804368,-0.000688884973019555
"110",2017-02-15,1.107001e+12,1.44173e+13,5.52003e+12,1.99374e+13,27.732675672997,0.0141034924030912,30.2994499903092,0.00355760987245546
"111",2017-02-22,1.088759e+12,1.44047e+13,5.53116e+12,1.99359e+13,27.7160596314395,-0.016616041557544,30.2985756581461,-0.000874332163114389
"112",2017-03-01,1.106784e+12,1.44084e+13,5.51206e+12,1.99204e+13,27.7324796286651,0.0164199972256007,30.2988324857711,0.000256827624955491
"113",2017-03-08,1.120381e+12,1.43749e+13,5.50425e+12,1.98791e+13,27.7446899219594,0.0122102932943022,30.296504746066,-0.00232773970505562
"114",2017-03-15,1.133288e+12,1.43407e+13,5.5051e+12,1.98458e+13,27.7561442580825,0.0114543361231654,30.2941227644135,-0.00238198165251191
"115",2017-03-22,1.084763e+12,1.43629e+13,5.48294e+12,1.98458e+13,27.7123826458812,-0.0437616122012869,30.2956696090202,0.00154684460670751
"116",2017-03-29,1.045683e+12,1.43497e+13,5.49609e+12,1.98458e+13,27.6756913763661,-0.0366912695151314,30.2947501519923,-0.000919457027922732
"117",2017-04-05,1.093432e+12,1.43624e+13,5.48371e+12,1.98461e+13,27.7203424894872,0.0446511131210805,30.295634796503,0.000884644510730226
"118",2017-04-12,1.109343e+12,1.43557e+13,5.49042e+12,1.98461e+13,27.7347890641237,0.0144465746365476,30.2951681918097,-0.000466604693315276
"119",2017-04-19,1.139283e+12,1.43236e+13,5.52244e+12,1.98461e+13,27.7614202330962,0.0266311689724219,30.2929296425142,-0.00223854929546619
"120",2017-04-26,1.095758e+12,1.43022e+13,5.54384e+12,1.9846e+13,27.7224674771541,-0.0389527559420522,30.2914344875152,-0.00149515499909825
"121",2017-05-03,1.129575e+12,1.43186e+13,5.52741e+12,1.9846e+13,27.7528625717124,0.0303950945583225,30.2925805073186,0.00114601980342499
"122",2017-05-10,1.090294e+12,1.43129e+13,5.53308e+12,1.9846e+13,27.7174685005711,-0.0353940711413792,30.2921823444507,-0.000398162867842444
"123",2017-05-17,1.145116e+12,1.43092e+13,5.53679e+12,1.9846e+13,27.7665270578469,0.0490585572758491,30.2919238029726,-0.000258541478132202
"124",2017-05-24,1.146675e+12,1.43105e+13,5.53549e+12,1.98459e+13,27.7678875660612,0.00136050821429379,30.2920146494875,9.08465148761195e-05
"125",2017-05-31,1.117048e+12,1.4299e+13,5.54697e+12,1.98459e+13,27.7417106073394,-0.0261769587217771,30.2912107206793,-0.000803928808217336
"126",2017-06-07,1.190237e+12,1.43298e+13,5.51614e+12,1.98459e+13,27.8051735628862,0.0634629555467789,30.2933624009371,0.00215168025784962
"127",2017-06-14,1.144734e+12,1.43226e+13,5.52334e+12,1.98459e+13,27.7661934115351,-0.038980151351101,30.2928598252261,-0.000502575711045949
"128",2017-06-21,1.137938e+12,1.43073e+13,5.53853e+12,1.98459e+13,27.7602389686019,-0.00595444293315595,30.2917910124495,-0.0010688127766052
"129",2017-06-28,1.098495e+12,1.43069e+13,5.53921e+12,1.98461e+13,27.7249621770994,-0.0352767915025822,30.2917630543028,-2.79581466564593e-05
"130",2017-07-05,1.08641e+12,1.43633e+13,5.4812e+12,1.98445e+13,27.7138997984213,-0.0110623786780693,30.2956974581614,0.00393440385862576
"131",2017-07-12,1.080448e+12,1.43649e+13,5.47961e+12,1.98445e+13,27.7083968858676,-0.00550291255368052,30.2958088469711,0.000111388809717283
"132",2017-07-19,1.09102e+12,1.43605e+13,5.48397e+12,1.98445e+13,27.7181341544171,0.00973726854952872,30.295502497884,-0.000306349087178859
"133",2017-07-26,1.075942e+12,1.43557e+13,5.48897e+12,1.98447e+13,27.7042176728696,-0.013916481547561,30.2951681918097,-0.00033430607425089
"134",2017-08-02,1.057004e+12,1.43856e+13,5.4592e+12,1.98448e+13,27.6864596071047,-0.0177580657649159,30.2972488221769,0.00208063036720318
"135",2017-08-09,1.090748e+12,1.44e+13,5.44479e+12,1.98447e+13,27.7178848153477,0.0314252082430535,30.2982493225105,0.00100050033358556
"136",2017-08-16,1.117383e+12,1.43988e+13,5.4459e+12,1.98447e+13,27.7420104599663,0.0241256446186249,30.2981659857048,-8.33368057477912e-05
"137",2017-08-23,1.078368e+12,1.43965e+13,5.44839e+12,1.98448e+13,27.7064699030737,-0.0355405568926628,30.2980062374122,-0.000159748292595907
"138",2017-08-30,1.093737e+12,1.43933e+13,5.45149e+12,1.98448e+13,27.7206213888333,0.014151485759637,30.2977839364574,-0.000222300954725085
"139",2017-09-06,1.12691e+12,1.44113e+13,5.43303e+12,1.98443e+13,27.7505004897672,0.0298791009338828,30.2990337369992,0.00124980054178536
"140",2017-09-13,1.115115e+12,1.46243e+13,5.53569e+12,2.016e+13,27.7399786545356,-0.0105218352315788,30.3137056446531,0.0146719076539021
"141",2017-09-20,1.10601e+12,1.46151e+13,5.54968e+12,2.01648e+13,27.7317800605791,-0.00819859395648237,30.3130763567537,-0.000629287899450048
"142",2017-09-27,1.063078e+12,1.46323e+13,5.55665e+12,2.01889e+13,27.6921895898306,-0.0395904707485144,30.314252529814,0.00117617306036522
