"","Date","SOFR","US.Policy","D.Include","SOFRV","bills","non_bills","debt","Spread","Reserves"
"1",2014-08-27,0.04,0.25,1,6.43294009273918,27.9949949847888,29.9027478368132,30.0411292782966,-0.21,14.837278518685
"2",2014-09-03,0.05,0.25,1,6.51767127291227,28.0039886080372,29.9045851314619,30.0438942971262,-0.2,14.837278518685
"3",2014-09-10,0.05,0.25,1,6.36990098282823,28.0156282052468,29.9045851314619,30.0454156071794,-0.2,14.8424553300405
"4",2014-09-17,0.05,0.25,1,6.4281052726846,27.9956889386556,29.9075660817183,30.04541548266,-0.2,14.8424553300405
"5",2014-09-24,0.03,0.25,1,6.38350663488401,27.9831087963338,29.9075660817183,30.0438043861914,-0.22,14.8158295216718
"6",2014-10-01,0.03,0.25,0,6.42971947803914,27.9753445122356,29.9093392813085,30.0443678839189,-0.22,14.8158295216718
"7",2014-10-08,0.04,0.25,1,6.40357419793482,27.9682318509355,29.9093392813085,30.0434722767114,-0.21,14.8348339381142
"8",2014-10-15,0.09,0.25,1,6.45362499889269,27.9660899975934,29.9123061140118,30.0457992658352,-0.16,14.8348339381142
"9",2014-10-22,0.07,0.25,1,6.41345895716736,27.9725074170211,29.9123061140118,30.0466034838371,-0.18,14.7935400202171
"10",2014-10-29,0.07,0.25,1,6.38519439899773,27.9717961536384,29.9123061140118,30.0465141271749,-0.18,14.7935400202171
"11",2014-11-05,0.07,0.25,1,6.39859493453521,27.9774693805268,29.9139381366623,30.0486545897588,-0.18,14.757305670417
"12",2014-11-12,0.07,0.25,1,6.40191719672719,27.9824076925803,29.9139381366623,30.0492783411848,-0.18,14.757305670417
"13",2014-11-19,0.07,0.25,1,6.4085287910595,27.9873205245027,29.9145670780302,30.0504505584532,-0.18,14.733149580486
"14",2014-11-26,0.08,0.25,1,6.27476202124194,27.991511669631,29.9145670780302,30.0509840423001,-0.17,14.733149580486
"15",2014-12-03,0.12,0.25,1,6.38519439899773,27.9956871209906,29.9159663982514,30.0527378072239,-0.13,14.7080375557069
"16",2014-12-10,0.1,0.25,1,6.4393503711001,28.0046726779938,29.9159663982514,30.0538909457091,-0.15,14.7080375557069
"17",2014-12-17,0.11,0.25,1,6.44730586254121,28.0122137501157,29.9185917980676,30.0571510167019,-0.14,14.8214057684986
"18",2014-12-24,0.08,0.25,1,6.31535800152233,28.014260036714,29.9185917980676,30.0574160182218,-0.17,14.8214057684986
"19",2014-12-31,0.08,0.25,0,6.25958146406492,28.0081057155217,29.9198857673111,30.0577476712357,-0.17,14.7662765302566
"20",2015-01-07,0.07,0.25,1,6.37672694789863,27.9949881485947,29.9198857673111,30.0560679993512,-0.18,14.7662765302566
"21",2015-01-14,0.08,0.25,1,6.39526159811545,27.9831045079578,29.9198857673111,30.0545628390322,-0.17,14.8227923374237
"22",2015-01-21,0.07,0.25,1,6.31716468674728,27.9767545514516,29.9222885339906,30.0558669551688,-0.18,14.8227923374237
"23",2015-01-28,0.05,0.25,1,6.36990098282823,27.9767542494047,29.9222885339906,30.0558669174005,-0.2,14.7993507734755
"24",2015-02-04,0.08,0.25,1,6.38350663488401,27.976754869634,29.9235333350979,30.0569562293954,-0.17,14.7993507734755
"25",2015-02-11,0.08,0.25,1,6.40687998606931,27.9908100306139,29.9235333350979,30.0587226244584,-0.17,14.7306057754959
"26",2015-02-18,0.07,0.25,1,6.41345895716736,27.9998406601732,29.9216345646993,30.0582124860585,-0.18,14.7306057754959
"27",2015-02-25,0.04,0.25,1,6.37161184723186,28.0087900597476,29.9216345646993,30.0593594508222,-0.21,14.7015602028936
"28",2015-03-04,0.08,0.25,1,6.35957386867238,28.0183384769706,29.9228450206754,30.0616465874411,-0.17,14.7015602028936
"29",2015-03-11,0.07,0.25,1,6.42648845745769,28.0142560782964,29.9228450206754,30.0611184505854,-0.18,14.8218598860029
"30",2015-03-18,0.12,0.25,1,6.40191719672719,28.017658936518,29.9252456796828,30.0636485895511,-0.13,14.8218598860029
"31",2015-03-25,0.12,0.25,1,6.38519439899773,28.0210501938239,29.9252456796828,30.0640875647766,-0.13,14.8039306773124
"32",2015-04-01,0.16,0.25,0,6.43454651878745,28.021726490837,29.9264126162656,30.0651909111894,-0.09,14.8039306773124
"33",2015-04-08,0.12,0.25,1,6.4085287910595,28.0284697357514,29.9264126162656,30.0660672628227,-0.13,14.8339628543035
"34",2015-04-15,0.18,0.25,1,6.41673228251233,28.0217258084387,29.9284428544912,30.0669582172075,-0.07,14.8339628543035
