"","Date","SOFR","US.Policy","D.Include","SOFRV","bills","non_bills","debt","Spread"
"58",2014-11-14,0.09,0.25,1,6.40522845803084,27.9873205245027,29.9139381366623,30.0499015495849,-0.16
"59",2014-11-17,0.1,0.25,1,6.46614472423762,27.9873205245027,29.9145670780302,30.0504505584532,-0.15
"60",2014-11-18,0.08,0.25,1,6.40687998606931,27.9873205245027,29.9145670780302,30.0504505584532,-0.17
"61",2014-11-19,0.07,0.25,1,6.4085287910595,27.9873205245027,29.9145670780302,30.0504505584532,-0.18
"62",2014-11-20,0.08,0.25,1,6.39692965521615,27.991511669631,29.9145670780302,30.0509840423001,-0.17
"63",2014-11-21,0.08,0.25,1,6.37842618365159,27.991511669631,29.9145670780302,30.0509840423001,-0.17
"64",2014-11-24,0.08,0.25,1,6.39526159811545,27.991511669631,29.9145670780302,30.0509840423001,-0.17
"65",2014-11-25,0.08,0.25,1,6.37331978957701,27.991511669631,29.9145670780302,30.0509840423001,-0.17
"66",2014-11-26,0.08,0.25,1,6.27476202124194,27.991511669631,29.9145670780302,30.0509840423001,-0.17
"67",2014-11-28,0.11,0.25,0,6.30078579466324,27.9956871209906,29.9145670780302,30.0515174718953,-0.14
"68",2014-12-01,0.13,0.25,0,6.44094654063292,27.9956871209906,29.9159663982514,30.0527378072239,-0.12
"69",2014-12-02,0.13,0.25,1,6.3919171133926,27.9956871209906,29.9159663982514,30.0527378072239,-0.12
"70",2014-12-03,0.12,0.25,1,6.38519439899773,27.9956871209906,29.9159663982514,30.0527378072239,-0.13
"71",2014-12-04,0.12,0.25,1,6.41345895716736,28.0046726779938,29.9159663982514,30.0538909457091,-0.13
"72",2014-12-05,0.14,0.25,1,6.40687998606931,28.0046726779938,29.9159663982514,30.0538909457091,-0.11
"73",2014-12-08,0.12,0.25,1,6.42324696353352,28.0046726779938,29.9159663982514,30.0538909457091,-0.13
"74",2014-12-09,0.11,0.25,1,6.45990445437753,28.0046726779938,29.9159663982514,30.0538909457091,-0.14
"75",2014-12-10,0.1,0.25,1,6.4393503711001,28.0046726779938,29.9159663982514,30.0538909457091,-0.15
"76",2014-12-11,0.12,0.25,1,6.4723462945009,28.0122137501157,29.9159663982514,30.0548657013965,-0.13
"77",2014-12-12,0.12,0.25,1,6.4150969591716,28.0122137501157,29.9159663982514,30.0548657013965,-0.13
"78",2014-12-15,0.12,0.25,1,6.46302945692067,28.0122137501157,29.9185917980676,30.0571510167019,-0.13
"79",2014-12-16,0.13,0.25,1,6.45204895443723,28.0122137501157,29.9185917980676,30.0571510167019,-0.12
"80",2014-12-17,0.11,0.25,1,6.44730586254121,28.0122137501157,29.9185917980676,30.0571510167019,-0.14
"81",2014-12-18,0.12,0.25,1,6.46458830368996,28.014260036714,29.9185917980676,30.0574160182218,-0.13
"82",2014-12-19,0.12,0.25,1,6.3818160174061,28.014260036714,29.9185917980676,30.0574160182218,-0.13
"83",2014-12-22,0.1,0.25,1,6.38856140554563,28.014260036714,29.9185917980676,30.0574160182218,-0.15
"84",2014-12-23,0.08,0.25,1,6.3750248198281,28.014260036714,29.9185917980676,30.0574160182218,-0.17
"85",2014-12-24,0.08,0.25,1,6.31535800152233,28.014260036714,29.9185917980676,30.0574160182218,-0.17
"86",2014-12-29,0.08,0.25,1,6.31535800152233,28.0081057155217,29.9185917980676,30.0566204346098,-0.17
"87",2014-12-30,0.08,0.25,0,6.28226674689601,28.0081057155217,29.9185917980676,30.0566204346098,-0.17
"88",2014-12-31,0.08,0.25,0,6.25958146406492,28.0081057155217,29.9198857673111,30.0577476712357,-0.17
"89",2015-01-02,0.1,0.25,0,6.41836493593621,27.9949881485947,29.9198857673111,30.0560679993512,-0.15
"90",2015-01-05,0.08,0.25,1,6.41836493593621,27.9949881485947,29.9198857673111,30.0560679993512,-0.17
"91",2015-01-06,0.07,0.25,1,6.41673228251233,27.9949881485947,29.9198857673111,30.0560679993512,-0.18
"92",2015-01-07,0.07,0.25,1,6.37672694789863,27.9949881485947,29.9198857673111,30.0560679993512,-0.18
"93",2015-01-08,0.07,0.25,1,6.39859493453521,27.9831045079578,29.9198857673111,30.0545628390322,-0.18
"94",2015-01-09,0.08,0.25,1,6.36990098282823,27.9831045079578,29.9198857673111,30.0545628390322,-0.17
"95",2015-01-12,0.08,0.25,1,6.40522845803084,27.9831045079578,29.9198857673111,30.0545628390322,-0.17
"96",2015-01-13,0.08,0.25,1,6.35957386867238,27.9831045079578,29.9198857673111,30.0545628390322,-0.17
"97",2015-01-14,0.08,0.25,1,6.39526159811545,27.9831045079578,29.9198857673111,30.0545628390322,-0.17
"98",2015-01-15,0.1,0.25,1,6.39359075395063,27.9767545514516,29.9222885339906,30.0558669551688,-0.15
"99",2015-01-16,0.1,0.25,1,6.37672694789863,27.9767545514516,29.9222885339906,30.0558669551688,-0.15
"100",2015-01-20,0.09,0.25,1,6.43133108193348,27.9767545514516,29.9222885339906,30.0558669551688,-0.16
"101",2015-01-21,0.07,0.25,1,6.31716468674728,27.9767545514516,29.9222885339906,30.0558669551688,-0.18
